;;#Dev Description;Stat Group;Slot;Affix Group;Special;MinRarity;;;;;;;;;;;;#;#;#;#;#;;#;#;#;#;#;#;#;weap1;head1;tors1;hand1;wais1;feet1;ring1;jewl1;amul1;reli1;weap2;head2;tors2;hand2;wais2;feet2;ring2;jewl2;amul2;reli2;weap3;head3;tors3;hand3;wais3;feet3;ring3;jewl3;amul3;reli3;weap4;head4;tors4;hand4;wais4;feet4;ring4;jewl4;amul4;reli4;weap5;head5;tors5;hand5;wais5;feet5;ring5;jewl5;amul5;reli5;#weap;#head;#tors;#hand;#wais;#feet;#ring;#jewl;#amul;#reli;#;#;#;#;#;#;#;#;#;;;;#;;Ability1;;;;;;;;;;;;;;;;;;#;#;#;#;#;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ability4;;;;;;;;;;;;;;;;;;Ability5;;;;;;;;;;;;;;;;;;Ability6;;;;;;;;;;;;;;;;;;Ability7;;;;;;;;;;;;;;;;Ability8;;;;;;;;;;;;;;;
;Spellstone;"whenever cast triggers | gain 0.1% cast dmg";P.Skill.Passive;none;@un;TRUE;myth;6;6;6;6;6;6;1;1;1;1;1;0.00167;0.00167;0.00167;0.00167;0.00167;TRUE;;1;9999;9999;9999;9999;9999;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;TRUE;FALSE;0;sct;trigger;trigger_fired;rs_slot;cast;pass;mult;stat;pow;group;P.Skill.Cast;;;;;;;0;;;0;1;0.01;;;;;;;cha;1;0;0;;nth;1;0;0;lcdmg+%;per;0.01;1;0;ldur1;dur;8;0;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;TheFanatic;"for each enemy hit gain 1% dmg for 3 sec";P.Skill.Passive;none;@un;TRUE;myth;6;40;40;40;40;40;1;1;1;1;1;0.00025;0.00025;0.00025;0.00025;0.00025;TRUE;;1;9999;9999;9999;9999;9999;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;TRUE;FALSE;0;sct;trigger;hit_each;pass;mult;stat;pow;group;;;;;;;;;;0;;;0;1;0.01;;;;;;;cha;1;0;0;;nth;1;0;0;ldmg+%;per;0.01;1;0;ldur1;dur;3;0;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;TheUncursed;"You have 100% chance to resist a curse";P.Skill.Passive;none;@un;TRUE;myth;6;1;1;1;1;1;1;1;1;1;1;0.01;0.01;0.01;0.01;0.01;TRUE;;1;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;TRUE;FALSE;0;sc;pass;base;stat;stadod;group;P;;;;;;;;;;;0;;;0;1;0.01;;;;;;lcha%;val;0.01;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;DestructionGreaves;"Deals damage stomp in aoe on mov dist";P.Skill.Power;power;@un;TRUE;epic;6;80;80;80;80;80;1;1;1;1;1;0.875;0.875;0.875;0.875;0.875;TRUE;;1;9999;9999;9999;9999;9999;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;9920;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;TRUE;FALSE;0;spawn_tgt_self;trigger;move_dist;prefab;Entities/Boons/_Items/DestructionGreaves/DestructionGreaves_Fab;follow;TRUE;aimed;FALSE;;;;;;;;;0;;;0;1;70;;;;;;;cha;1;0;0;ldist;amt;1;0;0;lkbk;kbk;0.2;0;0;;;;;;;pow;1;1;0;;minpow;60;0;1;;maxpow;80;0;1;lare;are;2.6;0;1;;tim;0.55;0;0.05;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;Warwheel;"Dash Stats > 30% Attack Stats";P.Skill.Passive;none;@un;TRUE;myth;6;40;40;40;40;40;1;1;1;1;1;0.0075;0.0075;0.0075;0.0075;0.0075;TRUE;;1;9999;9999;9999;9999;9999;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;TRUE;FALSE;0;sc_transfer;stat_from;pow;stat_to;pow;group_from;P.Skill.Dash;group_to;P.Weapon;;;;;;;;;0;;;0;';0.3;;;;;;lperc3%;st1;0.3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;sc_transfer;stat_from;cch;stat_to;cch;group_from;P.Skill.Dash;group_to;P.Weapon;;;;;;;;;0;;st1;0.3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;sc_transfer;stat_from;are;stat_to;are;group_from;P.Skill.Dash;group_to;P.Weapon;;;;;;;;;0;;st1;0.3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;sc_transfer;stat_from;dur;stat_to;dur;group_from;P.Skill.Dash;group_to;P.Weapon;;;0;;st1;0.3;0;0;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;DarkwoodSandals;"whenever trigger dash chance to trigger strike";P.Skill.Passive;none;@un;TRUE;epic;6;60;60;60;60;60;1;1;1;1;1;0.00333;0.00333;0.00333;0.00333;0.00333;TRUE;;1;9999;9999;9999;9999;9999;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;TRUE;FALSE;0.25;trigger_random;trigger;nth_dash;rs_slot;strike;col_stat;col;;;;;;;;;;;0;;;0;';0.2;lcld2;col;0.25;0;0.66;lcha%;cha;0.2;0;0.33;;nth;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;Misstep1;"whenever evade gain +3 evasion | take +100% dmg";P.Skill.Passive;none;@un;TRUE;myth;6;79;79;79;79;79;1;1;1;1;1;0.01405;0.01405;0.01405;0.01405;0.01405;TRUE;;1;9999;9999;9999;9999;9999;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;9954;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;TRUE;FALSE;0;sct;trigger;nth_evade;pass;base;stat;eva;group;P;isPermanent;TRUE;;;;;;;0;;;0;';1.11;;;;;;lcha%;cha;1.11;0;0.33;;nth;1;0;0;leva+;val;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;Misstep2;"whenever evade lose +3 armor | take +100% dmg";P.Skill.Passive;none;@un;TRUE;myth;6;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;TRUE;;1;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;TRUE;FALSE;0;sct;trigger;nth_evade;pass;base;stat;arm;group;P;isPermanent;TRUE;;;;;;;0;;;0;';1;;;;;;;cha;1;0;0;;nth;1;0;0;larmor+;val;-1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;Pathfinder-;"-all rerolls skips alts. Cant get Fates in runs. +150% global dmg";P.Skill.Passive;none;@un;TRUE;epic;6;120;120;120;120;120;1;1;1;1;1;-8.325;-8.325;-8.325;-8.325;-8.325;TRUE;;1;9999;9999;9999;9999;9999;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;TRUE;FALSE;0;reroll;;;;;;;;;;;;;;;;;0;;;0;';-999;;;;;;;st1;-999;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;banish;;;;;;;;;;;;;;;;;0;;st1;-999;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;skip;;;;;;;;;;;;;;;;;0;;st1;-999;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;god_weight;god;Empyrean;;;;;;;;;0;;st1;-100;0;0;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;PackBoots;"Summon Movement Speed > 30% to yours";P.Skill.Passive;none;@un;TRUE;myth;6;22;22;22;22;22;1;1;1;1;1;0.01364;0.01364;0.01364;0.01364;0.01364;TRUE;;1;9999;9999;9999;9999;9999;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;9988;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;TRUE;FALSE;0;sc_transfer;stat_from;mvm;stat_to;mvm;group_from;Su;group_to;P;;;;;;;;;0;;;0;';0.3;;;;;;lperc3%;st1;0.3;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;CheapBoots;"The darkness within | gain % dmg for every blessing of justice u have";P.Skill.Passive;none;@un;TRUE;brok;6;20;20;20;20;20;1;1;1;1;1;0.0025;0.0025;0.0025;0.0025;0.0025;TRUE;;1;9999;9999;9999;9999;9999;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;9980;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;TRUE;FALSE;0;god_weight;god;Justice;;;;;;;;;;;;;;;0;;;0;1;0.05;;;;;;lwjus+%;st1;0.05;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;TheFreezer1;"20% chance to freeze on attack.;P.Skill.Passive;none;@un;TRUE;epic;6;5;6;8;9;10;1;1;1;1;1;0.01;0.00833;0.00625;0.00556;0.005;TRUE;;1;9999;9999;9999;9999;9999;9995;9995;9995;9995;9995;9995;9995;9995;9995;9995;9996;9996;9996;9996;9996;9996;9996;9996;9996;9996;9992;9992;9992;9992;9992;9992;9992;9992;9992;9992;9999;9999;9999;9999;9999;9999;9999;9999;9999;9999;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;frozen;;TRUE;FALSE;0;apply_status;trigger;hit_each;status;frozen;in_entity;out_enemy;;;;;;;;;;;0;;;0;1;0.05;;;;;;lcha%;cha;0.05;1;1;;nth;1;0;0;;cnt;1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;TheFreezer2;whenever u kill an enemy with attack whille frozen gain +1% shorter freeze immunity duration (nth_exe with entity status req)";P.Skill.Passive;none;@un;TRUE;epic;6;90;90;90;90;90;1;1;1;1;1;0.00011;0.00011;0.00011;0.00011;0.00011;TRUE;;1;9999;9999;9999;9999;9999;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;frozen;;TRUE;FALSE;0;sct;trigger;dies_with_status;death_status;frozen;pass;mult;stat;dur;group;St.frozen;isPermanent;TRUE;;;;;0;;;0;';0.01;;;;;;;cha;1;0;0;;nth;1;0;0;lperc+3%;per;0.01;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;HarvestGloves;"Skeletons 25% chance to spawn 1 xp gem";P.Skill.Passive;none;@un;TRUE;epic;6;50;50;50;50;50;1;1;1;1;1;0.005;0.005;0.005;0.005;0.005;TRUE;;1;9999;9999;9999;9999;9999;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;TRUE;FALSE;0;overkillxp;drop;Entities/Misc/Shard_Fab_Special;;;;;;;;;;;;;;;0;;;0;';0.25;;;;;;lgemcha;cha;0.25;0;1;lgemexp2;val;0.5;0;0;;st1;0;0;0;loutxp1;out;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;ThunderHands;"whenever strike 20% chance to trigger lightning zaps. 0.5s cd";P.Skill.Strike;strike;@sp;TRUE;rare;6;5;6;8;9;10;1;1;1;1;1;2.8;2.33333;1.75;1.55556;1.4;TRUE;;1;5;12;24;36;50;5;5;0;5;0;0;5;0;0;5;12;12;0;12;0;0;12;0;0;12;24;24;0;24;0;0;24;0;0;24;36;36;0;36;0;0;36;0;0;36;50;50;0;50;0;0;50;0;0;50;1;1;0;1;0;0;1;0;0;1;;;;;;;;;;;;TRUE;FALSE;0.5;missile_passive;trigger;trigger_fired;rs_slot;strike;prefab;Entities/Boons/_Items/LightningZap/LightningZap_Fab;degrees;12;interval;0.08;col_stat;col;;;;;0;;;0;1;14;lcld3;col;0.5;0;1;lcha%;cha;0.1;0;0.66;;nth;1;0;0;;cnt;5;0;1;ldmg;pow;1;1;1;;minpow;1;0;1;;maxpow;27;0;1;;tim;0.7;0;1;;int;0.2;0;1;lare;are;3.8;0;1;lrng;rng;4.2;0;1;lvlc;vlc;2.4;0;1;ldur3;dur;1.1;0;1;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;Lifedrainer;"gain 1 max hp per enemy hit for 3 sec";P.Skill.Passive;none;@un;TRUE;myth;6;50;50;50;50;50;1;1;1;1;1;0.02;0.02;0.02;0.02;0.02;TRUE;;1;9999;9999;9999;9999;9999;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;9950;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;TRUE;FALSE;0;sct;trigger;nth_hit_any;pass;base;stat;hp;group;P;isPermanent;FALSE;;;;;;;0;;;0;1;1;;;;;;;cha;1;0;0;;nth;1;0;0;lhp+2;val;1;1;0;ldur1;dur;3;0;0.33;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;WritersHand;"gains 1% max dmg for each lore item";P.Skill.Passive;none;@un;TRUE;myth;6;30;30;30;30;30;5;5;5;5;5;0.00067;0.00067;0.00067;0.00067;0.00067;TRUE;;1;9999;9999;9999;9999;9999;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;9990;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;TRUE;FALSE;0;sc_perloreitem;pass;mult;stat;pow;group;;;;;;;;;;;;0;;;0;';0.1;;;;;;lperc3%;per;0.1;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
;WitchHat;"% for cast to turn enemy to ur side for 5 sec";P.Skill.Passive;none;@un;TRUE;rare;6;60;60;60;60;60;1;1;1;1;1;0.0025;0.0025;0.0025;0.0025;0.0025;TRUE;;1;9999;9999;9999;9999;9999;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;9960;1;1;1;1;1;1;1;1;1;1;;;;;;;;;;;;TRUE;FALSE;0;charm;trigger;enemy_took_dmg;source_slot;cast;in_entity;out_enemy;use_dur;TRUE;;;;;;;;;0;;;0;';0.15;;;;;;lcha%;cha;0.15;0;0.5;;nth;1;0;0;;;;;;ldur1;dur;6;0;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0;;;;;;;;;;0;;;;;;0
