n/a;code;type;invvariant;envvariant;#avg;;;;;;;;#;;;;;;;;;;;;;;;;;;;;;;#;#;#;;;#;;;;;;#;;;;;;;;;;;;;;;;;;;;#;#;;;;;;;;;#;#;;#;#;#;#;;;;#;;;;;;;;;#;#;#;;#;#;#;#;#;;#;#;;;;;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;#;;;;;;;;#;#;#;#sum;;;;;;;;;;;;#;;;#;;;;;;;;;#;#;#;;;;;#;#;#;;#;;;;;#;;#;;;;#;#;#;#;#;#;;;#;#;#;#;;#;#;;#;;;;;;;;;;;#;;;;;;;;;;;;;;;;
;Tr_AnySummon;reli;default;default;;0.05;0.1;0.5;0.1;0.3;0.3;;;0.5;;;;;;;1;;;;;0.05;;;;;;;;0.65;;;;1;;;;;;;;0.1;1;;;;;;;;;;;;;;;;;0.3;;;;;;0.2;;;;;;;;0.5;;;;;0.09;0.5;0.5;;;2.8;2.8;2.8;0.1;0.2;0.4;0.4;;;;0.2;;;;;;;;;;;;1;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;;;;;0.8;0.05;;;0.4;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;;;;;;;0.04;;;;;;;;;;;0.24;0.03;0.24;0.03;0.03;0.03;0.03;0.03;0.03;0.24;0.04;;;;;;0.02;0.02;0.02;0.02;0.02;0.02;;;;
;Tr_AnyStatus;weap;default;default;;;;;;;;;;0.5;;;;;;;;3;;;;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.5;;;;;;;;;;;;;;;;;;0.04;0.2;0.2;;;0.5;0.5;0.5;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;0.12;;;;;0.24;0.24;0.24;;;;;;;;;;;;;;;;;;;;;;;;0.04;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;0.24;0.24;0.12;0.12;;;;;;0.02;0.02;;;;
;Tr_AnyStatus;head;default;default;;0.5;0.25;2;0.8;;;;;0.25;;;;;;;;0.5;;;;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;0.03;0.5;0.5;;;0.5;0.5;0.5;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;0.2;0.2;;;;;;;;;;;;;;;;;;;;0.04;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;0.12;;0.02;;;;;;;;;
;Tr_AnyStatus;tors;default;default;;0.5;0.25;2;0.8;0.3;0.15;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;0.03;0.1;0.1;;0.5;0.65;0.65;0.65;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;0.04;;;0.04;0.04;;;;;;;;0.04;;0.04;;0.04;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;0.12;;;;;;;;;;;
;Tr_AnyStatus;hand;default;default;;0.5;0.25;2;0.8;;;;;;;;;;;;;0.5;;;;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;0.06;0.3;0.3;;;;;;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8;1;;;;;;;;;;;;;;;;;;;0.2;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;0.12;;;;;0.02;;;;;;
;Tr_AnyStatus;wais;default;default;;0.5;0.25;2;0.8;0.4;0.3;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;0.5;0.5;;;;;;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.02;;;;;;;;;0.2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;0.04;;;0.04;0.04;;;;;;;;;;;;0.04;;0.04;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;0.24;0.12;0.12;;;;;;;;;;;
;Tr_AnyStatus;feet;default;default;;0.5;0.25;2;0.8;;;;;;;;;;;;;;;;;0.01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;0.35;0.15;0.7;0.7;0.05;;;;0.2;;;;;0.03;0.2;0.2;;;;;;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;0.04;;0.12;0.04;0.04;;;;;;;;;;;;0.04;;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;0.12;;;;0.02;;;;;;;
;Tr_AnyStatus;ring;default;default;;0.05;0.05;0.25;0.4;;;;;0.2;;;;;;;;1;;;;0.02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;0.2;;;;;0.08;0.4;0.4;;;0.4;0.4;0.4;0.05;0.1;0.2;0.2;0.15;0.15;0.15;;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;0.2;0.2;0.2;;;;;;;0.04;0.04;;;0.04;0.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;0.12;;;;;;;0.02;;;;
;Tr_AnyStatus;jewl;default;default;;0.05;0.05;0.25;0.4;;;;;0.2;;;;;;;;1;;;;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;0.2;;;;;0.03;0.4;0.4;;;0.4;0.4;0.4;0.05;0.1;0.2;0.2;0.15;0.15;0.15;;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.04;0.04;;;0.04;0.04;;;;;;;;;;;;0.04;;0.04;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;;;;0.12;0.12;;;;;;0.02;;;;;
;Tr_AnyStatus;amul;default;default;;0.1;0.05;0.5;0.8;;0.16;;;0.2;;;;;;;;1;;;;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.15;;;;;;;;;;;;;;;;;;;0.2;0.2;;;0.2;0.2;0.2;0.05;0.1;0.2;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.12;0.12;;;0.02;;;;;;;;
;Tr_AnyStatus;reli;default;default;;0.05;0.1;0.5;0.1;0.3;0.3;;;0.5;;;;;;;;1;;;;0.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;;;;;0.2;;;;;;;;0.5;;;;;0.09;0.5;0.5;;;2.3;2.3;2.3;0.1;0.2;0.4;0.4;;;;0.2;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;0.05;;;;;;;;;0.4;0.4;;;;;;;;;;;;;;;;;;;0.3;0.3;0.3;;;;;;;0.04;0.04;;0.04;0.04;0.04;;;;;;;;;;;;0.04;;0.04;;;;;;;0.04;;;;;;;;;;;;;;;;;;;;;0.04;;;0.12;0.12;;0.02;0.02;0.02;0.02;0.02;0.02;;;;
;Tr_AnyEarly;weap;default;default;;;;;;;;;;;1;;;;;;;;0.1;0.1;0.1;0.075;0.9;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tr_AnyEarly;head;default;default;;0.5;0.25;1;0.8;;;;;;0.1;;;;;;;;0.1;0.1;0.1;0.075;0.2;;;;;;0.1;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tr_AnyEarly;tors;default;default;;0.5;0.25;1;0.8;0.3;;;;;0.05;;;;;;;;0.01;0.01;0.01;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tr_AnyEarly;hand;default;default;;0.5;0.25;1;0.8;;;;;;0.1;;;;;;;;0.05;0.05;0.05;0.035;0.3;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.8;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tr_AnyEarly;wais;default;default;;0.5;0.25;1;0.8;0.4;;;;;0.05;;;;;;;;0.01;0.01;0.01;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;0.015;;;;;;;;;0.2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tr_AnyEarly;feet;default;default;;0.5;0.25;1;0.8;;;;;;0.05;;;;;;;;0.01;0.01;0.01;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.35;0.15;0.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tr_AnyEarly;ring;default;default;;;;;;;;;;;0.2;;;;;;;;0.025;0.025;0.025;0.015;0.2;;;;;;0.15;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tr_AnyEarly;jewl;default;default;;;;;;;;;;;0.2;;;;;;;;0.1;0.1;0.1;0.075;0.2;;;;;;0.15;0.25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;;;;;;;;;;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tr_AnyEarly;amul;default;default;;;;;;;;;;;0.5;;;;;;;;0.1;0.1;0.1;0.075;0.2;;;;;;0.4;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Tr_AnyEarly;reli;default;default;;0.05;0.1;1;0.8;0.6;;;;;0.5;;;;;;;;0.1;0.1;0.1;0.075;0.4;;;;;;0.8;0.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.2;;;;;;;;;;;;;;;;;;1.4;1.4;1.4;;;;;;;;;;;;;;;;;;;;;0.05;0.05;0.05;0.05;0.05;0.05;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;;;;;;;;;0.4;0.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
