n/a;type;is_pos;is_stun;pc_disabled;code;preload;vfx;effect_type;p1;v1;p2;v2;p3;v3;p4;v4;p5;v5;p6;v6;p7;v7;p8;v8;eol;s1;v1;s1s;s2;v2;s2s;s3;v3;s3s;s4;v4;v4s;s4;v4;v4s;s5;v5;v5s;s6;v6;v6s;s7;v7;v7s;s8;v8;v8s;eol;#persec;#persec;#tot;#ability;eol;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Unique;TRUE;FALSE;TRUE;TheGeminator;1;Entities/VFX/GemHigh/GemHigh_Fab;gem_high;stat1;mvm;group1;P;stat2;spd;group2;P.Weapon;stat3;cspd;group3;;max_stacks;50;;;0;dur;1;0;st1;0.001;0;st2;0.002;0;st3;0.002;0;;;;;;;;;;;;;;;;0;;;;(also affects missiles & other such entities) Movement and velocity of affected slowed by X%.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Unique;TRUE;FALSE;TRUE;FlyingCarpet;1;Entities/Boons/_Items/FlyingCarpet/FlyingCarpet_Fab;stackable;;;;;;;;;;;;;;;;;0;dur;1;1;cnt;0;1;;;;;;;;;;;;;;;;;;;;;;0;#DIV/0!;;#DIV/0!;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Unique;TRUE;FALSE;TRUE;TheBlindWood;1;Entities/VFX/Ruptured/TheBlindWood_Fab;stackable;;;;;;;;;;;;;;;;;0;dur;9999;1;cnt;0;1;;;;;;;;;;;;;;;;;;;;;;0;#DIV/0!;;#DIV/0!;Affected takes X damage every interval | stackable.;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Unique;TRUE;FALSE;TRUE;TheShroomKing;1;;damage;;;;;;;;;;;;;;;;;0;dur;0.1;0;pow;1;1;minpow;400;1;maxpow;400;1;;;;;;;;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;TRUE;FALSE;TRUE;LadySelfBuff1;1;;statm_base;stat1;%red;group1;;;;;;;;;;;;;;0;dur;8;1;st1;0.5;0;;;;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;TRUE;FALSE;TRUE;LadySelfBuff2;1;;statm_perc;stat1;mvm;group1;;stat2;spd;group2;;stat3;are;group3;;;;;;0;dur;15;1;st1;0.15;0;st2;0.15;0;st3;0.15;0;;;;;;;;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;TRUE;FALSE;TRUE;ForestSpirit_Attached1;1;;statm_base;stat1;hp;group1;;stat2;%res;group2;;stat3;kkres;group3;;stat4;stares;group4;;0;dur;3;1;st1;3000;0;st2;0.9;0;st3;0.85;0;st4;0.8;0;;;;;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;TRUE;FALSE;TRUE;ForestSpirit_Attached2;1;;statm_base;stat1;hit;group1;;stat2;mvm;group2;;;;;;;;;;0;dur;3;1;st1;0;0;st2;0.6;0;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;TRUE;FALSE;TRUE;ForestSpirit_Attached3;1;;statm_perc;stat1;hp;group1;;stat2;aicd;group2;;;;;;;;;;0;dur;3;1;st1;0.2;0;st2;1;0;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;TRUE;FALSE;TRUE;ForestSpirit_Attached4;1;;statm_perc;stat1;mvm;group1;;stat2;spd;group2;;stat3;pow;group3;;stat4;vlc;group4;;0;dur;3;1;st1;0.2;0;st2;0.25;0;st3;0.5;0;st4;0.3;0;;;;;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;TRUE;FALSE;TRUE;ForestSpiritE_Attached1;1;;statm_base;stat1;hp;group1;;stat2;%res;group2;;stat3;kkres;group3;;stat4;stares;group4;;0;dur;3;1;st1;8000;0;st2;0.9;0;st3;0.85;0;st4;0.8;0;;;;;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;TRUE;FALSE;TRUE;ForestSpiritE_Attached2;1;;statm_base;stat1;hit;group1;;stat2;mvm;group2;;;;;;;;;;0;dur;3;1;st1;0;0;st2;1;0;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;TRUE;FALSE;TRUE;ForestSpiritE_Attached3;1;;statm_perc;stat1;hp;group1;;stat2;aicd;group2;;;;;;;;;;0;dur;3;1;st1;0.3;0;st2;2;0;;;;;;;;;;;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Blessing;TRUE;FALSE;TRUE;ForestSpiritE_Attached4;1;;statm_perc;stat1;mvm;group1;;stat2;spd;group2;;stat3;pow;group3;;stat4;vlc;group4;;0;dur;3;1;st1;0.2;0;st2;0.35;0;st3;1;0;st4;0.5;0;;;;;;;;;;;;;0;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
