;;#;team;#;#;#;#;#;#;#dmg;#;#;#;#;#;#;#;#;#;#hits;#;#;#;#;#;#;#;#;#;npow1;#npow1;#_tsca;_gro;npow2;#npow2;#_tsca;_gro;npow3;#npow3;#_tsca;_gro;npow4;#npow4;#_tsca;_gro;npow5;#npow5;#_tsca;_gro;#powB;mpow1;#mpow1;#_tsca;_gro;mpow2;#mpow2;#_tsca;_gro;mpow3;#mpow3;#_tsca;_gro;mpow4;#mpow4;#_tsca;_gro;mpow5;#mpow5;#_tsca;_gro;#atB;tim1;#tim1;#_tsca;_gro;tim2;#tim2;#_tsca;_gro;tim3;#tim3;#_tsca;_gro;tim4;#tim4;#_tsca;_gro;tim5;#tim5;#_tsca;_gro;tim2;#tim2;_gro;are;#are;_gro;aicd;#aicd;_gro;min_a;#min_a;_gro;max_a;#max_a;_gro;rng;#rng;_gro;dis;#dis;_gro;aim;#aim;_gro;dur;#dur;_gro;#vlcB;vlc1;#vlc1;#_tsca;_gro;vlc2;#vlc2;#_tsca;_gro;vlc3;#vlc3;#_tsca;_gro;vlc4;#vlc4;#_tsca;_gro;vlc5;#vlc5;#_tsca;_gro;kbk;#kbk;_gro;pnc;#pnc;_gro;bnc;#bnc;_gro;cnt;#cnt;_gro;ang;#ang;_gro;chg;#chg;_gro;col;#col;_gro;rct;#rct;_gro;int;#int;_gro;aipr;#aipr;_gro;st1;#st1;_gro;st2;#st2;_gro;st3;#st3;_gro;tap;#tap;#_gro;Stat Scaling;;;;;;;;;;;;;;;#;ability_type;a1p1;a1p1v1;a1p2;a1p2v1;a1p3;a1p3v1;a1p4;a1p4v1;a1p5;a1p5v1;a1p6;a1p6v1;a1p7;a1p7v1;a1_status;a1_status_val;eol;warning;flash;#base_subtype
;FungusFrostE_Explode;Fungus_ExplodeFire -  if enters X radius of player or timer runs out - explode and damage area;enemy;mon_death;0;3;03mon_death;mon_death03;;3.9;7.6;6.5;13.5;9.5;19.2;24.5;47.6;41;75.6;12.8;6.6;15.4;7.4;21.1;10.4;14.3;7.4;12.2;6.6;4.2;8.4;0;1;7.6;15;0;1;12;24;0;1;34;68;0;1;63;126;0;1;;4.2;8.4;0;1;7.6;15;0;1;12;24;0;1;34;68;0;1;63;126;0;1;;0.25;0.24;0;0.0625;0.24;0.23;0;0.062;0.23;0.22;0;0.0615;0.22;0.21;0;0.061;0.22;0.21;0;0.061;;;;4.2;4.2;0;0;;0;0;;0;1;1.5;0.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6;0.6;0;1;1;1;x;1;1;x;x;x;x;1;x;x;x;x;0.43;mon_death;prefab;Entities/Monsters/_Shared/Explosions/ExplosionFrost_Fab;;;;;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Death_Fab;TRUE;
;FungusPoison_Explode;Fungus_ExplodeFire -  if enters X radius of player or timer runs out - explode and damage area;enemy;mon_death;0;3;03mon_death;mon_death03;;0.5;0.8;0.6;1.1;0.6;1.1;1.3;2.2;1.7;2.6;100;62.5;166.7;90.9;333.3;181.8;269.2;159.1;294.1;192.3;0.5;0.9;0;0.7;0.7;1.2;-0.2;0.7;0.8;1.4;-0.4;0.7;1.8;3.1;-0.6;0.7;2.6;4.4;-0.7;0.7;;0.5;0.9;0;0.7;0.7;1.2;-0.2;0.7;0.8;1.4;-0.4;0.7;1.8;3.1;-0.55;0.7;2.6;4.4;-0.65;0.7;;0.25;0.24;0;0.0625;0.24;0.23;0;0.062;0.23;0.22;0;0.0615;0.22;0.21;0;0.061;0.22;0.21;0;0.061;;;;3.6;3.6;0;0;;0;0;;0;1;1.5;0.5;;;;;;;;;;7;7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;0;;;;;;;;;;;;;0.6;0.6;0;0.8;0.8;1;x;1;1;x;x;x;x;1;x;x;x;x;0.43;mon_death;prefab;Entities/Monsters/Fungus/FungusPoison_DmgPerInt_Fab;;;;;;;;;;;;;status;ppoisoned_6s;0;Entities/Monsters/_Shared/Warn_Death_Fab;TRUE;
;FungusSmoke_Explode;Fungus_ExplodeFire -  if enters X radius of player or timer runs out - explode and damage area;enemy;mon_death;0;3;03mon_death;mon_death03;;0.3;0.5;0.3;0.6;0.4;0.7;0.8;1.3;1;1.6;166.7;100;333.3;166.7;500;285.7;437.5;269.2;500;312.5;0.3;0.5;0;0.7;0.4;0.7;-0.2;0.7;0.5;0.9;-0.4;0.7;1.1;1.9;-0.6;0.7;1.6;2.7;-0.7;0.7;;0.3;0.5;0;0.7;0.4;0.7;-0.2;0.7;0.5;0.9;-0.4;0.7;1.1;1.9;-0.55;0.7;1.6;2.7;-0.65;0.7;;0.25;0.24;0;0.0625;0.24;0.23;0;0.062;0.23;0.22;0;0.0615;0.22;0.21;0;0.061;0.22;0.21;0;0.061;;;;4.2;4.2;0;0;;0;0;;0;1;1.5;0.5;;;;;;;;;;14;14;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;0;;;;;;;;;;;;;0.6;0.6;0;0.8;0.8;1;x;1;1;x;x;x;x;1;x;x;x;x;0.43;mon_death;prefab;Entities/Monsters/Fungus/FungusSmoke_DmgPerInt_Fab;;;;;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Death_Fab;TRUE;
;FungusArcane_Explode;Fungus_ExplodeFire -  if enters X radius of player or timer runs out - explode and damage area;enemy;mon_death;0;3;03mon_death;mon_death03;;0.9;1.5;1.2;2.2;1.3;2.3;2.6;4.3;3.4;5.4;55.6;33.3;83.3;45.5;153.8;87;134.6;81.4;147.1;92.6;1;1.7;0;0.7;1.4;2.4;-0.2;0.7;1.7;2.9;-0.4;0.7;3.6;6.1;-0.6;0.7;5.3;9;-0.7;0.7;;1;1.7;0;0.7;1.4;2.4;-0.2;0.7;1.7;2.9;-0.4;0.7;3.6;6.1;-0.55;0.7;5.3;9;-0.65;0.7;;0.25;0.24;0;0.0625;0.24;0.23;0;0.062;0.23;0.22;0;0.0615;0.22;0.21;0;0.061;0.22;0.21;0;0.061;;;;9.2;9.2;0;0;;0;0;;0;1;1.5;0.5;;;;;;;;;;14;14;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.1;0.1;0;;;;;;;;;;;;;0.6;0.6;0;0.8;0.8;1;x;1;1;x;x;x;x;1;x;x;x;x;0.43;mon_death;prefab;Entities/Monsters/Fungus/FungusArcane_DmgPerInt_Fab;;;;;;;;;;;;;status;pchrono;0;Entities/Monsters/_Shared/Warn_Death_Fab;TRUE;
;ScarecrowB_Dash;;enemy;mon_dash;0;3;03mon_dash;mon_dash03;;8.4;16.2;13.8;28.8;19.8;40;51.8;100.8;87.8;162;6;3.1;7.2;3.5;10.1;5;6.8;3.5;5.7;3.1;9;18;0;1;16;32;0;1;25;50;0;1;72;144;0;1;135;270;0;1;;9;18;0;1;16;32;0;1;25;50;0;1;72;144;0;1;135;270;0;1;;1.6;1.42;0;0.13;1.54;1.37;0;0.127;1.48;1.32;0;0.124;1.43;1.28;0;0.1215;1.38;1.23;0;0.119;;;;5;5;;10;5.88;0.7;0;;0;99;99;0;;;;6;7.4;0.23;0;;0;;;;;;;;;;;;;;;;;;;;;;;;;3;3;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;;;;;;;;;;;;;1;1;0;1;1;1;1;1;0.33;x;x;x;x;1;x;x;x;x;1.4;mon_dash;prefab;Entities/Monsters/_Shared/Slashes/_S_Stomp_Fab;;;;;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Dash_Fab;TRUE;
;ScarecrowB_Jump1;;enemy;jump;3;3;33jump;jump33;1200;8.4;16.2;13.8;28.8;19.8;40;51.8;100.8;87.8;162;6;3.1;7.2;3.5;10.1;5;6.8;3.5;5.7;3.1;9;18;0;1;16;32;0;1;25;50;0;1;72;144;0;1;135;270;0;1;50;9;18;0;1;16;32;0;1;25;50;0;1;72;144;0;1;135;270;0;1;1.36;1.65;1.46;0;0.1325;1.59;1.41;0;0.1295;1.53;1.36;0;0.1265;1.47;1.31;0;0.1235;1.42;1.27;0;0.121;;;;8;11.2;0.4;0;;0;1.2;1.2;0;5.2;5.2;0;5.2;5.2;0;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;;;;0.4;0.4;0;;;;1;1;0;x;x;1;1;x;0.33;1;x;x;1;x;x;x;x;x;0.5;jump;prefab;Entities/Monsters/_Shared/Slashes/MagicSlam_Fab;lerp;linear;;;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_JumpStomp_Fab;TRUE;
;ScarecrowB_DashRandom;;enemy;mon_dash_move;3;3;33mon_dash_move;mon_dash_move33;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0.85;1;0.91;0;0.1;0.96;0.87;0;0.098;0.93;0.85;0;0.0965;0.89;0.81;0;0.0945;0.86;0.79;0;0.093;;;;;;;20;20;0;0;;0;99;99;0;;;;8;9.4;0.18;60;60;0;;;;5.77;6.3;7.9;0;0.25;6.7;8.3;0;0.24;7.1;8.7;0;0.23;7.4;9;0;0.22;7.8;9.4;0;0.21;;;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;0.6;1;0;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;0;x;x;x;1;1;x;x;x;x;0.5;mon_dash_move;prefab;Entities/Monsters/_Shared/Slashes/MagicSlam_Fab;special;TRUE;;;;;;;;;;;;;0;;FALSE;
;ScarecrowB_Slash;;enemy;melee;2;3;23melee;melee23;780;6.9;13.5;11.2;23.4;16.6;33.6;42.5;82.6;72.2;133.2;7.2;3.7;8.9;4.3;12;6;8.2;4.2;6.9;3.8;7.4;15;0;1;13;26;0;1;21;42;0;1;59;118;0;1;111;222;0;1;36.8;7.4;15;0;1;13;26;0;1;21;42;0;1;59;118;0;1;111;222;0;1;1.67;2;1.74;0;0.15;1.92;1.68;0;0.146;1.85;1.62;0;0.1425;1.79;1.57;0;0.1395;1.72;1.51;0;0.136;;;;8.8;12.32;0.4;10;10;0;0;;0;3.34;3.34;0;2.6;2.6;0;;;;0;;0;;;;0;;;;;;;;;;;;;;;;;;;;;3;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;1.4;melee;prefab;Entities/Monsters/_Shared/Slashes/_S_SlashVariants/SlashStrongBlueMagic_Fab;distance;2.6;yoffset;0;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_Melee_Slash_Fab;FALSE;
;ScarecrowB_Missile1;;enemy;missile;2;3;23missile;missile23;780;3.7;7.2;6.2;12.6;8.7;17.6;23;44.8;39;72;13.5;6.9;16.1;7.9;23;11.4;15.2;7.8;12.8;6.9;4;8;0;1;7.2;14;0;1;11;22;0;1;32;64;0;1;60;120;0;1;19.3;4;8;0;1;7.2;14;0;1;11;22;0;1;32;64;0;1;60;120;0;1;1.41;1.66;1.47;0;0.133;1.6;1.42;0;0.13;1.54;1.37;0;0.127;1.48;1.32;0;0.124;1.43;1.28;0;0.1215;;;;0.03;0.03;0;3;3;0;2.5;2.5;0;99;148.5;0.5;8;12;0.5;;;;79;79;0;;;;3.07;3.5;4.9;0;0.39;3.7;5.1;0;0.38;3.9;5.3;0;0.36;4.1;5.5;0;0.35;4.3;5.8;0;0.34;;;0;0;;;;;;4;4;0;70;70;0;;;;;;;;;;;;0;0.2;0.2;0;;;;;;;;;;0.6;0.6;0;1;1;1;1;1;1;1;0.33;x;0.33;1;1;1;0.5;x;1.4;missile;prefab;Entities/Monsters/TheScarecrow/TheScarecrowMissileAim_Fab;variant;Specter;;;anim_index;0;;;impact_cd;0.3;;;;;0;;FALSE;
;ScarecrowB_Missile2;;enemy;missile;2;3;23missile;missile23;780;4.7;9;7.7;16.2;11.1;22.4;28.8;56;48.8;90;10.6;5.6;13;6.2;18;8.9;12.2;6.3;10.2;5.6;5;10;0;1;9;18;0;1;14;28;0;1;40;80;0;1;75;150;0;1;24.5;5;10;0;1;9;18;0;1;14;28;0;1;40;80;0;1;75;150;0;1;1.41;1.66;1.47;0;0.133;1.6;1.42;0;0.13;1.54;1.37;0;0.127;1.48;1.32;0;0.124;1.43;1.28;0;0.1215;;;;0.07;0.07;0;5;5;0;5;5;0;99;148.5;0.5;7.5;11.3;0.5;;;;25;25;0;;;;4.63;5;6.5;0;0.3;5.3;6.8;0;0.29;5.6;7.2;0;0.28;5.9;7.5;0;0.27;6.2;7.8;0;0.26;;;0;0;;;;;;1;1;0;70;70;0;;;;;;;;;;;;0;0.2;0.2;0;;;;;;;;;;0.6;0.6;0;1;1;1;1;1;1;0.33;0.33;x;1;1;1;1;x;x;1.4;missile;prefab;Entities/Monsters/TheScarecrow/TheScarecrowMissileAimInvul_Fab;variant;Specter;invul;TRUE;anim_index;0;;;impact_cd;0.3;;;;;0;;FALSE;
;ScarecrowB_Stab1;LadyB_DancingSlash - enter higher MS and circle around player executing attack anims ;enemy;melee;3;3;33melee;melee33;1200;8.4;16.2;13.8;28.8;19.8;40;51.8;100.8;87.8;162;6;3.1;7.2;3.5;10.1;5;6.8;3.5;5.7;3.1;9;18;0;1;16;32;0;1;25;50;0;1;72;144;0;1;135;270;0;1;50;9;18;0;1;16;32;0;1;25;50;0;1;72;144;0;1;135;270;0;1;1.69;2.1;1.82;0;0.155;2.02;1.75;0;0.151;1.94;1.69;0;0.147;1.88;1.64;0;0.144;1.81;1.59;0;0.1405;;;;22;30.8;0.4;0;;0;2.5;2.5;0;15;15;0;3.3;3.3;0;;;;0;;1.87;;;;1.68;2.2;3.4;0;0.53;2.3;3.5;0;0.51;2.5;3.7;0;0.49;2.6;3.8;0;0.48;2.7;4;0;0.47;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0.4;0.4;;;;;;;;;;;0.6;0.6;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;1.4;melee;prefab;Entities/Monsters/_Shared/Slashes/_S_SavageSlashTight_Fab;distance;3.3;yoffset;0;allow_move;TRUE;;;anim_index;2;;;;;0;Entities/Monsters/_Shared/Warn_Melee_TightSlash_Fab;FALSE;
;ScarecrowB_PointCast;;enemy;point_cast;2;2;22point_cast;point_cast22;780;6.5;12.6;11.2;23.4;15.8;32;40.3;78.4;68.3;126;7.7;4;8.9;4.3;12.7;6.3;8.7;4.5;7.3;4;7;14;0;1;13;26;0;1;20;40;0;1;56;112;0;1;105;210;0;1;22.8;7;14;0;1;13;26;0;1;20;40;0;1;56;112;0;1;105;210;0;1;1.9;2.2;1.9;0;0.16;2.12;1.83;0;0.156;2.04;1.77;0;0.152;1.96;1.71;0;0.148;1.9;1.66;0;0.145;;;;1.2;1.2;0;3;3;0;0;;0;5.4;5.4;0;13;19.5;0.5;;;;6;9.6;0.6;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;0.6;0.6;;;;;;;;;;;1;1;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;1.4;point_cast;prefab;Entities/Monsters/TheScarecrow/TheScarecrowPointCast_Fab;anim_index;1;;;;;;;;;;;;;0;Entities/Monsters/_Shared/Warn_PointCast_Fab;FALSE;
;ScarecrowB_SummonTreant;;enemy;mon_shockwave;2;3;23mon_shockwave;mon_shockwave23;780;1;1.7;1.4;2.4;1.4;2.5;2.9;4.8;3.8;5.9;50;29.4;71.4;41.7;142.9;80;120.7;72.9;131.6;84.7;1.1;1.9;0;0.7;1.6;2.7;-0.2;0.7;1.8;3.1;-0.4;0.7;4;6.8;-0.6;0.7;5.8;9.9;-0.7;0.7;2.7;1.1;1.9;0;0.7;1.6;2.7;-0.2;0.7;1.8;3.1;-0.4;0.7;4;6.8;-0.55;0.7;5.8;9.9;-0.65;0.7;1.67;2;1.74;0;0.15;1.92;1.68;0;0.146;1.85;1.62;0;0.1425;1.79;1.57;0;0.1395;1.72;1.51;0;0.136;;;;0.5;0.7;0.4;60;60;0;0;;0;3.4;5.1;0.5;6.5;9.8;0.5;;;;0;;0.6;12;12;0;5.47;5.8;7.4;0;0.27;6.1;7.7;0;0.26;6.5;8.1;0;0.25;6.8;8.4;0;0.24;7.2;8.9;0;0.23;;;0;;;;;;;2;2;0;35;35;0;;;;;;;;;;0.1;0.1;0;0.6;0.6;0;0.2;0.2;0;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;1.4;mon_shockwave;prefab;Entities/Monsters/TheScarecrow/ThornsWall/TheScarecrowWallSummons_Fab;anim_index;0;special;disk;monster;ScarecrowTreant;;;;;;;status;pScarecrow_immobilized;0;Entities/Monsters/_Shared/Warn_PointCast_Fab;FALSE;
;ScarecrowB_SummonTentacles;;enemy;mon_shockwave;2;3;23mon_shockwave;mon_shockwave23;780;1;1.7;1.4;2.4;1.4;2.5;2.9;4.8;3.8;5.9;50;29.4;71.4;41.7;142.9;80;120.7;72.9;131.6;84.7;1.1;1.9;0;0.7;1.6;2.7;-0.2;0.7;1.8;3.1;-0.4;0.7;4;6.8;-0.6;0.7;5.8;9.9;-0.7;0.7;2.7;1.1;1.9;0;0.7;1.6;2.7;-0.2;0.7;1.8;3.1;-0.4;0.7;4;6.8;-0.55;0.7;5.8;9.9;-0.65;0.7;1.67;2;1.74;0;0.15;1.92;1.68;0;0.146;1.85;1.62;0;0.1425;1.79;1.57;0;0.1395;1.72;1.51;0;0.136;;;;0.5;0.7;0.4;60;60;0;0;;0;3.4;5.1;0.5;15;22.5;0.5;;;;0;;0.6;12;12;0;5.47;5.8;7.4;0;0.27;6.1;7.7;0;0.26;6.5;8.1;0;0.25;6.8;8.4;0;0.24;7.2;8.9;0;0.23;;;0;;;;;;;4;4;0;35;35;0;;;;;;;;;;0.1;0.1;0;0.6;0.6;0;0.2;0.2;0;;;;;;;0.3;0.3;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;1.4;mon_shockwave;prefab;Entities/Monsters/TheScarecrow/ThornsWall/TheScarecrowWallSummons_Fab;anim_index;0;special;disk;monster;TentacleRoot;;;;;;;status;pScarecrow_immobilized;0;Entities/Monsters/_Shared/Warn_PointCast_Fab;FALSE;
;ScarecrowB_RootBombs;;enemy;mon_shockwave;2;3;23mon_shockwave;mon_shockwave23;780;1;1.7;1.4;2.4;1.4;2.5;2.9;4.8;3.8;5.9;50;29.4;71.4;41.7;142.9;80;120.7;72.9;131.6;84.7;1.1;1.9;0;0.7;1.6;2.7;-0.2;0.7;1.8;3.1;-0.4;0.7;4;6.8;-0.6;0.7;5.8;9.9;-0.7;0.7;2.7;1.1;1.9;0;0.7;1.6;2.7;-0.2;0.7;1.8;3.1;-0.4;0.7;4;6.8;-0.55;0.7;5.8;9.9;-0.65;0.7;1.67;2;1.74;0;0.15;1.92;1.68;0;0.146;1.85;1.62;0;0.1425;1.79;1.57;0;0.1395;1.72;1.51;0;0.136;;;;0.5;0.7;0.4;60;60;0;8;8;0;99;148.5;0.5;2;3;0.5;;;;0;;0.6;12;12;0;5.47;5.8;7.4;0;0.27;6.1;7.7;0;0.26;6.5;8.1;0;0.25;6.8;8.4;0;0.24;7.2;8.9;0;0.23;;;0;;;;;;;3;3;0;35;35;0;;;;;;;;;;0.1;0.1;0;0.6;0.6;0;0.2;0.2;0;;;;;;;0.6;0.6;0;1;1;1;1;1;1;x;x;x;x;1;x;x;x;x;1.4;mon_shockwave;prefab;Entities/Monsters/TheScarecrow/ThornsWall/TheScarecrowWallSummons_Fab;anim_index;0;special;disk;monster;Fungus;;;;;;;status;pScarecrow_immobilized;0;Entities/Monsters/_Shared/Warn_PointCast_Fab;FALSE;
;ScarecrowB_RootShockwave;;enemy;mon_shockwave;2;3;23mon_shockwave;mon_shockwave23;780;1;1.7;1.4;2.4;1.4;2.5;2.9;4.8;3.8;5.9;50;29.4;71.4;41.7;142.9;80;120.7;72.9;131.6;84.7;1.1;1.9;0;0.7;1.6;2.7;-0.2;0.7;1.8;3.1;-0.4;0.7;4;6.8;-0.6;0.7;5.8;9.9;-0.7;0.7;2.7;1.1;1.9;0;0.7;1.6;2.7;-0.2;0.7;1.8;3.1;-0.4;0.7;4;6.8;-0.55;0.7;5.8;9.9;-0.65;0.7;1.23;1.45;1.29;0;0.1225;1.39;1.24;0;0.1195;1.34;1.2;0;0.117;1.29;1.16;0;0.1145;1.25;1.12;0;0.1125;;;;0.35;0.35;0;60;60;0;5;5;0;99;148.5;0.5;15;22.5;0.5;;;;54;54;0;20;20;0;5.47;5.8;7.4;0;0.27;6.1;7.7;0;0.26;6.5;8.1;0;0.25;6.8;8.4;0;0.24;7.2;8.9;0;0.23;;;0;;;;;;;2;2;0;90;90;0;;;;;;;;;;0.1;0.1;0;0.6;0.6;0;;;;;;;;;;0.6;0.6;0;1;1;1;1;1;0.25;1;1;x;1;1;1;1;1;x;1.4;mon_shockwave;prefab;Entities/Monsters/TheScarecrow/ThornsWall/TheScarecrowWall_Fab;anim_index;0;;;;;;;;;;;status;pScarecrow_immobilized;0;;FALSE;
;ScarecrowB_RootWall;;enemy;mon_shockwave;2;3;23mon_shockwave;mon_shockwave23;780;1;1.7;1.4;2.4;1.4;2.5;2.9;4.8;3.8;5.9;50;29.4;71.4;41.7;142.9;80;120.7;72.9;131.6;84.7;1.1;1.9;0;0.7;1.6;2.7;-0.2;0.7;1.8;3.1;-0.4;0.7;4;6.8;-0.6;0.7;5.8;9.9;-0.7;0.7;2.7;1.1;1.9;0;0.7;1.6;2.7;-0.2;0.7;1.8;3.1;-0.4;0.7;4;6.8;-0.55;0.7;5.8;9.9;-0.65;0.7;1.23;1.45;1.29;0;0.1225;1.39;1.24;0;0.1195;1.34;1.2;0;0.117;1.29;1.16;0;0.1145;1.25;1.12;0;0.1125;;;;0.35;0.35;0;30;30;0;2;2;0;99;148.5;0.5;15;22.5;0.5;;;;54;54;0;20;20;0;5.47;5.8;7.4;0;0.27;6.1;7.7;0;0.26;6.5;8.1;0;0.25;6.8;8.4;0;0.24;7.2;8.9;0;0.23;;;0;;;;;;;2;2;0;90;90;0;;;;;;;;;;0.1;0.1;0;0.6;0.6;0;;;;;;;;;;0.6;0.6;0;1;1;1;1;1;0.25;1;1;x;1;1;1;1;1;x;1.4;mon_shockwave;prefab;Entities/Monsters/TheScarecrow/ThornsWall/TheScarecrowWall_Fab;anim_index;0;special;fence;;;;;;;;;status;pScarecrow_immobilized;0;;FALSE;
;LadyB_BuffSelf;;enemy;mon_self_buff;3;3;33mon_self_buff;mon_self_buff33;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;2.34;3;2.5;0;0.2;2.88;2.41;0;0.194;2.78;2.34;0;0.189;2.68;2.26;0;0.184;2.59;2.2;0;0.1795;;;;;;;20;20;0;1;1;0;1;1;0;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.3;0.3;0;x;x;1;x;x;0.33;x;x;1;x;x;x;x;1;x;0.5;mon_self_buff;;;anim_index;1;;;;;;;;;;;status;LadySelfBuff2;0;;FALSE;
;LadyB_DashRandom;;enemy;mon_dash_move;3;3;33mon_dash_move;mon_dash_move33;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0.35;0.4;0.37;0;0.07;0.38;0.36;0;0.069;0.37;0.35;0;0.0685;0.36;0.34;0;0.068;0.34;0.32;0;0.067;;;;;;;0;;0;0;;0;99;99;0;;;;8;9.4;0.18;60;60;0;;;;6.45;7;8.6;0;0.23;7.4;9;0;0.22;7.8;9.4;0;0.21;8.3;10;0;0.2;8.7;10.4;0;0.19;;;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;0.6;1;0;;;;;;;;;;0.3;0.3;0;1;1;1;1;1;0;x;x;x;0.66;1;x;x;x;x;0.5;mon_dash_move;;;special;TRUE;;;;;;;;;;;;;0;;FALSE;
;LadyB_DashDance1;LadyB_Dash - Windup Animation into Dash loop into Dash End animation (if During Dash Loop LadyB enters Radius of player interrupt DashLoop and enter DashSlash);enemy;dash_with_anims;3;3;33dash_with_anims;dash_with_anims33;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0.35;0.4;0.37;0;0.07;0.38;0.36;0;0.069;0.37;0.35;0;0.0685;0.36;0.34;0;0.068;0.34;0.32;0;0.067;;;;;;;0;;0;1.2;1.2;0;99;99;0;;;;4;5.3;0.33;60;60;0;;;;5.77;6.3;7.9;0;0.25;6.7;8.3;0;0.24;7.1;8.7;0;0.23;7.4;9;0;0.22;7.8;9.4;0;0.21;;;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;0.6;1;0;;;;;;;;;;0.6;0.6;0;1;1;1;1;1;1;x;x;x;1;1;x;x;x;x;0.5;dash_with_anims;interrupt;LadyB_SlashDance1;;;;;;;;;;;;;;;0;;FALSE;
;LadyB_DashDance2;LadyB_Dash - Windup Animation into Dash loop into Dash End animation (if During Dash Loop LadyB enters Radius of player interrupt DashLoop and enter DashSlash);enemy;dash_with_anims;3;3;33dash_with_anims;dash_with_anims33;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0.35;0.4;0.37;0;0.07;0.38;0.36;0;0.069;0.37;0.35;0;0.0685;0.36;0.34;0;0.068;0.34;0.32;0;0.067;;;;;;;0;;0;1.2;1.2;0;99;99;0;;;;4;5.3;0.33;60;60;0;;;;5.77;6.3;7.9;0;0.25;6.7;8.3;0;0.24;7.1;8.7;0;0.23;7.4;9;0;0.22;7.8;9.4;0;0.21;;;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;0.6;1;0;;;;;;;;;;0.6;0.6;0;1;1;1;1;1;1;x;x;x;1;1;x;x;x;x;0.5;dash_with_anims;interrupt;LadyB_SlashDance2;;;;;;;;;;;;;;;0;;FALSE;
;LadyB_DashDance3;LadyB_Dash - Windup Animation into Dash loop into Dash End animation (if During Dash Loop LadyB enters Radius of player interrupt DashLoop and enter DashSlash);enemy;dash_with_anims;3;3;33dash_with_anims;dash_with_anims33;1200;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;0.35;0.4;0.37;0;0.07;0.38;0.36;0;0.069;0.37;0.35;0;0.0685;0.36;0.34;0;0.068;0.34;0.32;0;0.067;;;;;;;0;;0;2;2;0;99;99;0;;;;3;4.3;0.43;60;60;0;;;;5.77;6.3;7.9;0;0.25;6.7;8.3;0;0.24;7.1;8.7;0;0.23;7.4;9;0;0.22;7.8;9.4;0;0.21;;;0;;;;;;;;;;;;;1;1;0;;;;;;;;;;0.6;1;0;;;;;;;;;;0.6;0.6;0;1;1;1;1;1;1;x;x;x;1;1;x;x;x;x;0.5;dash_with_anims;interrupt;LadyB_SlashDance3;;;;;;;;;;;;;;;0;;FALSE;
