n/a;code;t;#isboss;#cnt;#Hor;#Tan;#Ini;#Rng;#DPS;#Nuk;#Con;#Dis;#Sup;#Mob;#Acc;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;#;;#;;#;;#;;#;;#;#;;#;#;;#;;#;;#;;#;;#;;#;;#;;#;;#;#;;#;;#
;InsectChannel;2;Minion;4.3;0;0;0;Rng;0;Nuk;0;0;0;Mob;Acc;;;;;2;4%;;;2;10%;;;;;;;2;9.1%;2;20%;;;;;2;4%;;;2;12.5%;;;;;;;2;50%;2;20%;;;1;4%;1;4%;2;8.3%;1;4%;1;4%;1;4%;1;4%;2;20%;1;4%;;;2;8.3%;;;;;;;2;9.1%;2;20%;;;1;8.3%;1;10%;1;8.3%;1;8.3%;1;8.3%;2;20%;1;8.3%;;;;;;;;;2;20%;;;;;;;2;9.1%;2;20%;;;;;;;2;20%;;;2;7.7%;2;7.7%;1;7.7%;2;20%;1;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Jackal;2;Minion;3.4;0;Tan;Ini;0;0;Nuk;0;0;0;Mob;0;1;11.1%;2;9.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;;;;;2;8.3%;;;;;;;2;25%;;;;;;;2;8.3%;;;;;;;2;9.1%;;;;;1;8.3%;1;10%;1;8.3%;1;8.3%;1;8.3%;1;9.1%;1;8.3%;;;;;;;;;;;;;;;;;2;9.1%;;;;;;;;;;;;;2;7.7%;2;7.7%;1;7.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;JackalShadow;2;Minion;4.1;0;Tan;Ini;0;0;Nuk;Con;0;0;Mob;0;1;11.1%;2;9.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;;;;;2;8.3%;2;20%;;;;;2;25%;;;;;;;2;8.3%;2;8.3%;;;;;2;9.1%;;;;;1;8.3%;2;7.7%;1;8.3%;1;8.3%;1;8.3%;1;9.1%;1;8.3%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;;;;;2;9.1%;;;;;;;;;;;;;2;7.7%;2;7.7%;1;7.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;MagicSword;2;Minion;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;PhantomSand;2;Minion;12;0;0;Ini;0;0;Nuk;0;0;0;Mob;0;3;25%;3;33.3%;3;33.3%;3;25%;2;10%;3;25%;3;25%;3;25%;2;9.1%;3;25%;;;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;3;14.3%;3;50%;2;8.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;16.7%;3;50%;2;8.3%;3;50%;3;50%;3;50%;3;50%;3;50%;3;100%;1;8.3%;1;10%;1;8.3%;1;8.3%;1;8.3%;1;9.1%;1;8.3%;3;12.5%;3;12.5%;3;12.5%;3;12.5%;3;12.5%;3;14.3%;3;12.5%;3;12.5%;3;14.3%;3;12.5%;3;14.3%;3;12.5%;3;12.5%;3;12.5%;3;14.3%;2;7.7%;2;7.7%;1;7.7%;3;12.5%;3;14.3%;2;14.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;PhantomSandShadow;2;Minion;3.1;0;0;Ini;0;0;Nuk;0;0;0;Mob;0;;;;;;;;;2;10%;2;8.3%;;;;;2;9.1%;;;;;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;;;;;2;8.3%;2;20%;;;;;2;25%;;;;;;;2;8.3%;2;8.3%;;;;;2;9.1%;;;;;1;8.3%;2;7.7%;1;8.3%;1;8.3%;1;8.3%;1;9.1%;1;8.3%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;;;;;;;;;;;;;;;;;;;2;7.7%;2;7.7%;1;7.7%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;RockElemental;2;Minion;7.5;0;Tan;Ini;0;DPS;0;0;0;0;0;0;1;11.1%;2;9.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;3;14.3%;2;10%;3;16.7%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;16.7%;;;3;33.3%;;;;;;;;;;;;;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;16.7%;3;12.5%;3;12.5%;3;12.5%;3;12.5%;3;12.5%;3;14.3%;3;12.5%;3;12.5%;3;14.3%;3;12.5%;3;14.3%;3;12.5%;3;12.5%;3;12.5%;3;14.3%;3;16.7%;3;16.7%;3;20%;3;12.5%;3;14.3%;2;14.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;RockElementalOnyx;2;Minion;2.8;0;Tan;Ini;0;0;0;Con;0;0;0;0;1;11.1%;2;9.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;;;;;;;2;20%;;;;;;;;;;;;;;;2;8.3%;;;;;;;;;;;;;2;7.7%;;;;;;;;;;;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SkeletonSand;2;Minion;27.7;Hor;0;0;0;0;0;0;0;0;0;0;3;25%;3;33.3%;3;33.3%;3;25%;3;33.3%;3;25%;3;25%;3;25%;3;50%;3;25%;2;20%;3;50%;3;100%;3;100%;3;50%;3;50%;3;50%;3;50%;3;50%;3;50%;2;20%;3;14.3%;3;50%;3;16.7%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;2;20%;3;50%;3;33.3%;3;50%;3;50%;3;50%;3;50%;3;50%;2;50%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;2;20%;3;12.5%;3;12.5%;3;12.5%;3;12.5%;3;12.5%;2;25%;3;12.5%;3;12.5%;3;14.3%;3;12.5%;2;20%;3;12.5%;3;12.5%;3;12.5%;2;20%;3;16.7%;3;16.7%;2;20%;3;12.5%;2;20%;1;20%;;;;;;;;;;;;;;;;1;100%;1;100%;1;100%;1;100%;1;100%;1;100%;1;100%;1;100%;1;100%;;;;;
;SkeletonSandBurrow;2;Minion;3.5;Hor;0;0;0;DPS;0;Con;0;0;0;0;;;;;;;;;;;2;8.3%;;;;;;;;;2;20%;;;;;2;12.5%;;;2;10%;;;;;;;;;2;20%;;;2;10%;;;2;20%;;;;;;;;;2;20%;1;7.1%;1;7.7%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.7%;1;7.1%;;;2;7.7%;;;;;;;;;2;20%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;;;;;;;;;2;20%;;;;;;;2;20%;;;;;2;20%;;;2;20%;1;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SkeletonSandFire;2;Minion;2.9;Hor;0;0;0;DPS;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;2;20%;;;;;2;12.5%;;;;;;;;;;;;;2;20%;;;2;10%;;;;;;;;;;;;;2;20%;1;7.1%;1;7.7%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.7%;1;7.1%;;;;;;;;;;;;;2;20%;;;;;;;;;;;2;25%;;;;;;;;;2;20%;;;;;;;2;20%;;;;;2;20%;;;2;20%;1;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SkeletonSandShadow;2;Minion;2.9;Hor;0;0;0;DPS;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;2;20%;;;;;2;12.5%;;;;;;;;;;;;;2;20%;;;2;10%;;;;;;;;;;;;;2;20%;1;7.1%;1;7.7%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.7%;1;7.1%;;;;;;;;;;;;;2;20%;;;;;;;;;;;2;25%;;;;;;;;;2;20%;;;;;;;2;20%;;;;;2;20%;;;2;20%;1;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SkeletonSandTrash1;2;Minion;0;Hor;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SkeletonSandTrash2;2;Minion;0;Hor;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SkeletonSandWarrior;2;Minion;2.6;Hor;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;2;20%;;;;;;;;;;;;;;;;;;;2;20%;;;;;;;;;;;;;;;;;2;20%;;;;;;;;;;;;;;;2;50%;;;;;;;;;;;;;2;20%;;;;;;;;;;;2;25%;;;;;;;;;2;20%;;;;;;;2;20%;;;;;2;20%;;;2;20%;1;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Sorceror;2;Minion;3;0;0;0;Rng;DPS;0;0;0;0;0;Acc;;;;;2;4%;;;;;;;;;;;;;2;20%;;;;;2;4%;2;12.5%;;;;;;;;;;;2;20%;;;1;4%;1;4%;1;5.9%;1;4%;1;4%;1;4%;1;4%;2;20%;1;4%;1;7.1%;1;7.7%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;2;20%;1;7.1%;;;;;;;;;;;2;20%;;;;;;;;;;;2;20%;;;;;;;;;2;20%;;;;;;;2;20%;;;;;;;;;2;20%;1;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SorcerorChanneler;2;Minion;2.4;0;0;0;Rng;0;0;0;0;0;0;Acc;;;;;2;4%;;;;;;;;;;;;;2;20%;;;;;2;4%;;;;;;;;;;;;;2;20%;;;1;4%;1;4%;1;5.9%;1;4%;1;4%;1;4%;1;4%;2;20%;1;4%;;;;;;;;;;;;;2;20%;;;;;;;;;;;;;2;20%;;;;;;;;;;;2;20%;;;;;;;;;2;20%;;;;;;;2;20%;;;;;;;;;2;20%;1;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SorcerorCurser;2;Minion;4.9;0;0;0;Rng;0;0;0;Dis;0;0;Acc;;;;;2;4%;;;;;;;2;25%;;;;;2;20%;;;;;2;4%;;;;;;;2;25%;;;;;2;20%;;;1;4%;1;4%;1;5.9%;1;4%;1;4%;1;4%;1;4%;2;20%;1;4%;;;;;;;2;25%;;;;;2;20%;;;;;;;2;25%;;;;;2;20%;;;;;2;50%;;;;;2;20%;;;1;25%;1;25%;1;25%;2;20%;1;25%;;;;;2;20%;;;;;;;;;2;20%;1;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;SorcerorSummoner;2;Minion;2.4;0;0;0;Rng;0;0;0;0;0;0;Acc;;;;;2;4%;;;;;;;;;;;;;2;20%;;;;;2;4%;;;;;;;;;;;;;2;20%;;;1;4%;1;4%;1;5.9%;1;4%;1;4%;1;4%;1;4%;2;20%;1;4%;;;;;;;;;;;;;2;20%;;;;;;;;;;;;;2;20%;;;;;;;;;;;2;20%;;;;;;;;;2;20%;;;;;;;2;20%;;;;;;;;;2;20%;1;20%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Zombie;2;Minion;7.8;0;Tan;Ini;0;DPS;0;0;0;0;0;0;1;11.1%;2;9.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;3;14.3%;2;10%;3;16.7%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;16.7%;1;7.1%;1;7.7%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.7%;1;7.1%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;16.7%;3;12.5%;3;12.5%;3;12.5%;3;12.5%;3;12.5%;3;14.3%;3;12.5%;3;12.5%;3;14.3%;3;12.5%;3;14.3%;3;12.5%;3;12.5%;3;12.5%;3;14.3%;3;16.7%;3;16.7%;3;20%;3;12.5%;3;14.3%;2;14.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ZombieExplode;2;Minion;7.8;0;Tan;Ini;0;DPS;0;Con;0;0;0;0;1;11.1%;2;9.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;3;14.3%;2;10%;3;16.7%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;16.7%;1;7.1%;1;7.7%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.7%;1;7.1%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;16.7%;3;12.5%;3;12.5%;3;12.5%;3;12.5%;3;12.5%;3;14.3%;3;12.5%;3;12.5%;3;14.3%;3;12.5%;3;14.3%;3;12.5%;3;12.5%;3;12.5%;3;14.3%;3;16.7%;3;16.7%;3;20%;3;12.5%;3;14.3%;2;14.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ZombieLifesteal;2;Minion;7.8;0;Tan;Ini;0;DPS;0;Con;0;0;0;0;1;11.1%;2;9.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;3;14.3%;2;10%;3;16.7%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;16.7%;1;7.1%;1;7.7%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.7%;1;7.1%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;14.3%;3;16.7%;3;12.5%;3;12.5%;3;12.5%;3;12.5%;3;12.5%;3;14.3%;3;12.5%;3;12.5%;3;14.3%;3;12.5%;3;14.3%;3;12.5%;3;12.5%;3;12.5%;3;14.3%;3;16.7%;3;16.7%;3;20%;3;12.5%;3;14.3%;2;14.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ZombiePlague;2;Minion;2.7;0;Tan;Ini;0;DPS;0;Con;0;0;0;0;1;11.1%;2;9.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;;;2;10%;;;;;;;;;;;;;;;1;7.1%;1;7.7%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.7%;1;7.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ZombiePoison;2;Minion;2.7;0;Tan;Ini;0;DPS;0;Con;0;0;0;0;1;11.1%;2;9.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;11.1%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;1;7.7%;;;2;10%;;;;;;;;;;;;;;;1;7.1%;1;7.7%;1;7.1%;1;7.1%;1;7.1%;1;7.1%;1;7.7%;1;7.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherSandE;2;Elite;0.8;0;0;0;Rng;DPS;0;0;0;0;0;0;;;;;E1;3.1%;;;;;;;;;;;;;;;;;;;E1;2.4%;E1;3.7%;;;;;;;;;;;;;;;E1;5.3%;E1;2.8%;E1;4.2%;E1;4.3%;E1;4.3%;E1;5.3%;E1;3%;E1;5.3%;E1;3.6%;E1;4.5%;E1;2.9%;E1;3.7%;E1;4%;E1;4.5%;E1;2.8%;E1;4.5%;E1;4.5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherSandFrostE;2;Elite;1.1;0;0;0;Rng;0;0;0;Dis;0;0;0;;;;;E1;3.1%;;;;;;;E1;4.8%;;;;;;;;;;;E1;2.4%;;;;;;;E1;3.8%;;;;;;;;;E1;5.3%;E1;2.8%;E1;4.2%;E1;4.3%;E1;4.3%;E1;5.3%;E1;3%;E1;5.3%;E1;3.6%;;;;;;;E1;4%;;;;;;;;;;;;;E1;5%;;;;;;;;;;;E1;5.9%;;;;;;;;;E1;12.5%;E1;12.5%;E1;3.7%;E1;11.1%;E1;5.9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherSandLightningE;2;Elite;1;0;0;0;Rng;0;Nuk;0;0;0;0;0;;;;;E1;3.1%;;;E1;4.5%;;;;;;;;;;;;;;;E1;2.4%;;;E1;3.2%;;;;;;;;;;;;;E1;5.3%;E1;2.8%;E1;4.2%;E1;4.3%;E1;4.3%;E1;5.3%;E1;3%;E1;5.3%;E1;3.6%;;;E1;2.9%;;;;;;;;;;;;;E1;7.1%;E1;4.3%;E1;5%;E1;7.1%;E1;3.4%;E1;6.7%;E1;4.5%;;;;;;;;;;;E1;5.6%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherSandMultishotE;2;Elite;1;0;0;0;Rng;0;0;0;0;0;0;0;;;;;E1;3.1%;;;;;E1;4.5%;;;;;;;;;;;;;E1;2.4%;;;;;E1;3.6%;;;;;;;;;;;E1;5.3%;E1;2.8%;E1;4.2%;E1;4.3%;E1;4.3%;E1;5.3%;E1;3%;E1;5.3%;E1;3.6%;;;;;E1;3.7%;;;;;;;;;;;;;E1;4.3%;;;;;;;;;;;E1;9.1%;E1;5.9%;E1;9.1%;E1;9.1%;E1;8.3%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;ArcherSandPoisonE;2;Elite;0.9;0;0;0;Rng;DPS;0;0;0;0;0;0;;;;;E1;3.1%;;;E1;4.5%;;;;;;;;;;;;;;;E1;2.4%;;;E1;3.2%;;;;;;;;;;;;;E1;5.3%;E1;2.8%;E1;4.2%;E1;4.3%;E1;4.3%;E1;5.3%;E1;3%;E1;5.3%;E1;3.6%;;;E1;2.9%;;;;;;;;;;;;;E1;7.1%;E1;4.3%;E1;5%;E1;7.1%;E1;3.4%;E1;6.7%;E1;4.5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BomberMassE;2;Elite;1.2;0;0;0;Rng;0;Nuk;0;0;0;Mob;0;;;;;E1;3.1%;;;E1;4.5%;;;;;;;E1;3.2%;;;;;;;E1;2.4%;;;E1;3.2%;;;;;;;E1;3.1%;;;;;E1;5.3%;E1;2.8%;E1;4.2%;E1;4.3%;E1;4.3%;E1;5.3%;E1;3%;E1;5.3%;E1;3.6%;;;E1;2.9%;;;;;;;E1;2.8%;;;;;E1;7.1%;E1;4.3%;E1;5%;E1;7.1%;E1;3.4%;E1;6.7%;E1;4.5%;;;;;;;;;;;;;;;;;E1;3.7%;;;;;;;;;;;;;E1;4%;E1;3.8%;E1;3.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;BomberPoisonE;2;Elite;1.3;0;0;0;Rng;0;0;Con;0;0;Mob;0;;;;;E1;3.1%;;;;;E1;4.5%;;;;;E1;3.2%;;;;;;;E1;2.4%;;;;;E1;3.6%;;;;;E1;3.1%;;;;;E1;5.3%;E1;2.8%;E1;4.2%;E1;4.3%;E1;4.3%;E1;5.3%;E1;3%;E1;5.3%;E1;3.6%;;;;;E1;3.7%;;;;;E1;2.8%;;;;;;;E1;4.3%;;;;;E1;3.4%;;;;;E1;9.1%;E1;5.9%;E1;9.1%;E1;9.1%;E1;8.3%;E1;5.6%;;;;;E1;3.7%;;;;;;;;;;;;;E1;4%;E1;3.8%;E1;3.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CatE;2;Elite;1.3;0;0;0;Rng;0;0;Con;0;0;Mob;0;;;;;E1;3.1%;;;;;E1;4.5%;;;;;E1;3.2%;;;;;;;E1;2.4%;;;;;E1;3.6%;;;;;E1;3.1%;;;;;E1;5.3%;E1;2.8%;E1;4.2%;E1;4.3%;E1;4.3%;E1;5.3%;E1;3%;E1;5.3%;E1;3.6%;;;;;E1;3.7%;;;;;E1;2.8%;;;;;;;E1;4.3%;;;;;E1;3.4%;;;;;E1;9.1%;E1;5.9%;E1;9.1%;E1;9.1%;E1;8.3%;E1;5.6%;;;;;E1;3.7%;;;;;;;;;;;;;E1;4%;E1;3.8%;E1;3.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CatFrostE;2;Elite;2;0;0;0;Rng;DPS;0;Con;Dis;0;0;0;;;;;E1;3.1%;E1;3.8%;;;E1;4.5%;E1;4.8%;;;;;;;;;;;E1;2.4%;E1;3.7%;;;E1;3.6%;E1;3.8%;;;;;;;;;E1;5.3%;E1;2.8%;E1;4.2%;E1;4.3%;E1;4.3%;E1;5.3%;E1;3%;E1;5.3%;E1;3.6%;E1;4.5%;E1;2.9%;E1;3.7%;E1;4%;E1;4.5%;E1;2.8%;E1;4.5%;E1;4.5%;;;E1;4.3%;E1;5%;;;;;;;;;E1;9.1%;E1;5.9%;E1;9.1%;E1;9.1%;E1;8.3%;E1;5.6%;E1;12.5%;E1;12.5%;E1;3.7%;E1;11.1%;E1;5.9%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;CatLightningE;2;Elite;0.9;0;0;0;Rng;0;Nuk;0;0;0;0;0;;;;;E1;3.1%;;;E1;4.5%;;;;;;;;;;;;;;;E1;2.4%;;;E1;3.2%;;;;;;;;;;;;;E1;5.3%;E1;2.8%;E1;4.2%;E1;4.3%;E1;4.3%;E1;5.3%;E1;3%;E1;5.3%;E1;3.6%;;;E1;2.9%;;;;;;;;;;;;;E1;7.1%;E1;4.3%;E1;5%;E1;7.1%;E1;3.4%;E1;6.7%;E1;4.5%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;EfreetE;2;Elite;1;0;0;Ini;0;DPS;0;0;0;0;Mob;0;;;E1;4.3%;;;E1;3.8%;;;;;;;;;E1;3.2%;;;;;E1;4.5%;E1;2.4%;E1;3.7%;E1;3.2%;E1;3.6%;E1;3.8%;E1;4.5%;E1;3.1%;E1;4.3%;E1;4.5%;;;E1;2.8%;;;;;;;;;E1;3%;;;;;E1;4.5%;E1;2.9%;E1;3.7%;E1;4%;E1;4.5%;E1;2.8%;E1;4.5%;E1;4.5%;;;;;;;;;E1;3.4%;;;;;;;;;;;;;;;;;;;;;E1;3.7%;;;;;;;;;;;;;E1;4%;E1;3.8%;E1;3.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;EfreetFireE;2;Elite;1;0;0;Ini;0;DPS;0;0;0;0;Mob;0;;;E1;4.3%;;;E1;3.8%;;;;;;;;;E1;3.2%;;;;;E1;4.5%;E1;2.4%;E1;3.7%;E1;3.2%;E1;3.6%;E1;3.8%;E1;4.5%;E1;3.1%;E1;4.3%;E1;4.5%;;;E1;2.8%;;;;;;;;;E1;3%;;;;;E1;4.5%;E1;2.9%;E1;3.7%;E1;4%;E1;4.5%;E1;2.8%;E1;4.5%;E1;4.5%;;;;;;;;;E1;3.4%;;;;;;;;;;;;;;;;;;;;;E1;3.7%;;;;;;;;;;;;;E1;4%;E1;3.8%;E1;3.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;EfreetFrostE;2;Elite;1.7;0;0;Ini;0;DPS;0;0;Dis;0;Mob;0;;;E1;4.3%;;;E1;3.8%;;;;;E1;4.8%;;;E1;3.2%;;;;;E1;4.5%;E1;2.4%;E1;3.7%;E1;3.2%;E1;3.6%;E1;3.8%;E1;4.5%;E1;3.1%;E1;4.3%;E1;4.5%;;;E1;2.8%;;;;;E1;4.3%;;;E1;3%;;;;;E1;4.5%;E1;2.9%;E1;3.7%;E1;4%;E1;4.5%;E1;2.8%;E1;4.5%;E1;4.5%;;;;;E1;5%;;;E1;3.4%;;;;;;;E1;5.9%;;;;;;;;;E1;12.5%;E1;12.5%;E1;3.7%;E1;11.1%;E1;5.9%;;;;;;;;;E1;4%;E1;3.8%;E1;3.1%;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
